Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"1,99 tỷ","Đường Đinh đức thiện, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"120 m² (4,7x24,0)",4 phòng,3 WC,2,Tây,Tây,Sổ hồng
710 triệu,"39, 39, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"98,4 m² (5,0x19,7)",2 phòng,2 WC,1,Đông,Đông Bắc,Sổ hồng
830 triệu,"Đường Bầu Gốc, Xã Tân Kiên, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",3 phòng,4 WC,1,N/A,N/A,Sổ hồng
"3,65 tỷ","B19/22D, Đường Cây Cám, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP.HCM","Nhà hẻm, ngõ","72,5 m² (5,0x14,5)",1 phòng,2 WC,1,N/A,N/A,Đang chờ sổ
"16,5 tỷ","E12/355B ấp 5, Đường Quốc Lộ 50, Xã Đa Phước, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"293 m² (8,8x34,2)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
60 triệu,"Đường Thanh Niên, Xã Phạm Văn Hai, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"250 m² (5,0x50,0)",N/A,N/A,N/A,Bắc,Bắc,Sổ hồng
"6,5 tỷ","Đường Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"118 m² (4,0x30,0)",N/A,1 WC,N/A,N/A,N/A,Sổ hồng
"1,7 tỷ","C13/2a, Đường Ấp 3B, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"34 m² (4,0x8,5)",1 phòng,2 WC,2,Bắc,Bắc,Đang chờ sổ
"12,1 tỷ","1287, Đường Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"136 m² (4,0x34,0)",1 phòng,1 WC,N/A,N/A,Tây,Sổ hồng
940 triệu,"Đường Huỳnh Hữu Trí, Thị Trấn Tân Túc, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"120 m² (5,0x20,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
720 triệu,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"85 m² (5,0x17,0)",2 phòng,2 WC,1,Tây,Tây,Sổ hồng
"4,5 tỷ","Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM","Nhà hẻm, ngõ","227 m² (9,0x27,0)",4 phòng,5 WC,2,Nam,Nam,Sổ hồng
800 triệu,"Đường Bà Thau, Thị Trấn Tân Túc, Huyện Bình Chánh, TP.HCM","Nhà hẻm, ngõ","120 m² (70,0x20,0)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
9 tỷ,"Đường Phạm Hùng, Xã Phong Phú, Huyện Bình Chánh, TP.HCM","Biệt thự, Villa","260 m² (7,0x38,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"1,5 tỷ","Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",2 phòng,2 WC,1,N/A,N/A,Giấy tờ hợp lệ
790 triệu,"39*, Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"129 m² (5,0x25,8)",3 phòng,2 WC,1,Đông Bắc,Đông Bắc,Sổ hồng
16 tỷ,"Đường Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"179 m² (6,0x30,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"16,5 tỷ","Đường 6B, Xã Bình Hưng, Huyện Bình Chánh, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",12 phòng,12 WC,4,N/A,N/A,Sổ hồng
"1,65 tỷ","Đường Nguyễn Thị Tú, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP.HCM","Nhà hẻm, ngõ","80 m² (4,0x10,0)",2 phòng,2 WC,1,N/A,N/A,Giấy tờ hợp lệ
