Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"10,5 tỷ","11, Đường Tô Ký, Xã Trung Chánh, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","212 m² (10,0x21,0)",12 phòng,12 WC,N/A,N/A,Đông Nam,Sổ hồng
"3,2 tỷ","Đường TX52, Xã Đông Thạnh, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","429 m² (11,0x39,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,68 tỷ","Đường Tây Lân 3, Xã Bà Điểm, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",2 phòng,2 WC,2,N/A,N/A,Giấy tờ hợp lệ
"2,55 tỷ","Đường Tân Thới Nhì 19, Xã Tân Thới Nhì, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","60 m² (6,0x10,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"4,64 tỷ","Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","62 m² (4,0x15,5)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"1,89 tỷ","Ấp Tây Lân, Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","32 m² (6,0x6,0)",N/A,2 WC,2,N/A,N/A,Sổ hồng
"1,7 tỷ","Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","43 m² (4,3x10,0)",2 phòng,2 WC,1,N/A,N/A,Sổ đỏ
"5,29 tỷ","Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, TP.HCM",Nhà mặt tiền,"95,7 m² (4,5x21,0)",4 phòng,5 WC,3,Nam,Nam,Sổ hồng
"3,6 tỷ","Đường Tam Đông, Xã Thới Tam Thôn, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","70,6 m² (4,2x17,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"1,25 tỷ","Đường Xuân Thới 10, Xã Xuân Thới Đông, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",2 phòng,2 WC,1,Đông,Đông,Sổ đỏ
590 triệu,"8/10, Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, TP.HCM","Nhà hẻm, ngõ","20 m² (4,0x5,0)",2 phòng,N/A,N/A,Nam,Nam,Hợp đồng mua bán
