Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"15,2 tỷ","Đường số 10, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"152,2 m² (8,0x18,8)",N/A,N/A,3,N/A,N/A,Sổ hồng
13 tỷ,"Đường số 23, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Đào Tông Nguyên, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ",59 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,95 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"48 m² (6,0x8,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
44 tỷ,"Đường Huỳnh Thị Đồng, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Biệt thự, Villa","624 m² (23,0x28,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"1,05 tỷ","Đường Nguyễn Bình, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ",44 m²,2 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"6,1 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"80 m² (5,0x16,0)",4 phòng,3 WC,4,Nam,Nam,Sổ hồng
3 tỷ,"Đường Lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"45 m² (3,8x14,0)",4 phòng,3 WC,3,Tây Bắc,Tây Bắc,Sổ hồng
"11,5 tỷ","39, Đường Trần Thị Liền, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"90 m² (9,0x10,0)",4 phòng,4 WC,4,N/A,Tây,Sổ hồng
"3,1 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","90 m² (5,0x19,0)",2 phòng,1 WC,1,Đông Bắc,Đông Bắc,Sổ hồng
"1,55 tỷ","Đường Nguyễn Bình, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"32 m² (3,5x8,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"16,8 tỷ","Huyện Nhà Bè, TP.HCM","Biệt thự, Villa","140 m² (7,0x20,0)",5 phòng,3 WC,N/A,Nam,Nam,Sổ đỏ
"6,8 tỷ","Đường Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","68 m² (4,0x17,0)",4 phòng,5 WC,4,Tây Bắc,Tây Bắc,Sổ hồng
"9,49 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"140 m² (7,0x20,0)",5 phòng,6 WC,4,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường Lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"95 m² (5,0x19,0)",4 phòng,5 WC,3,Đông,Đông,Sổ hồng
"1,48 tỷ","2581/41, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"6,3 tỷ","Đường Đào Tông Nguyên, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","50,1 m² (5,0x10,2)",4 phòng,5 WC,4,N/A,N/A,Sổ hồng
"26,5 tỷ","Huyện Nhà Bè, TP.HCM","Biệt thự, Villa","200 m² (10,0x20,0)",4 phòng,3 WC,N/A,N/A,Tây Nam,Hợp đồng mua bán
"2,9 tỷ","1302/40/43, Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"179 m² (7,0x25,5)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
26 tỷ,"Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"126 m² (7,0x18,0)",4 phòng,4 WC,N/A,Đông Bắc,Đông Bắc,Hợp đồng mua bán
"2,38 tỷ","Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","62 m² (35,0x18,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"1,38 tỷ","Đường Lê văn lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","31 m² (3,5x8,0)",2 phòng,2 WC,2,N/A,N/A,Giấy tờ khác
"4,89 tỷ","Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","45 m² (3,8x12,0)",4 phòng,5 WC,3,N/A,N/A,Sổ hồng
355 triệu,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","75 m² (5,0x15,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"1,23 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM",Nhà mặt tiền,"26 m² (3,2x8,0)",2 phòng,2 WC,2,N/A,N/A,Đang chờ sổ
"4,9 tỷ","410/1, Đường Đào Sư Tích, Xã Phước Lộc, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","87,6 m² (5,4x16,2)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"1,08 tỷ","Đường Huỳnh Tấn Phát, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","24 m² (4,0x6,0)",2 phòng,2 WC,2,N/A,N/A,Giấy tờ hợp lệ
"3,8 tỷ","620/9, Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","96 m² (5,0x19,0)",2 phòng,1 WC,1,N/A,N/A,Sổ hồng
16 tỷ,"Đường Phan Văn Bảy, Xã Hiệp Phước, Huyện Nhà Bè, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"3,5 tỷ","1527/7/1, Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","42 m² (3,2x14,0)",4 phòng,3 WC,4,N/A,Đông,Sổ hồng
35 tỷ,"Đường Đào Sư Tích, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ",300 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"1,65 tỷ","Đường Nguyễn Bình, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","17,1 m² (3,8x5,0)",2 phòng,2 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
"8,2 tỷ","1368, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","81 m² (6,0x13,5)",4 phòng,5 WC,N/A,Tây,Tây,Sổ hồng
"6,2 tỷ","Hẻm 90, Đường Dương Cát Lợi, Thị Trấn Nhà Bè, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"1,85 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP.HCM","Nhà hẻm, ngõ","24 m² (3,0x8,0)",2 phòng,2 WC,N/A,N/A,N/A,Giấy tờ khác
