Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
55 tỷ,"Trần Khắc Chân, Đường Hai Bà Trưng, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","32 m² (4,0x8,0)",3 phòng,3 WC,3,N/A,Nam,Sổ hồng
32 tỷ,"28, Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",Nhà mặt tiền,"100 m² (4,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
33 tỷ,"Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","100 m² (5,0x20,0)",3 phòng,4 WC,3,N/A,Tây Bắc,Sổ hồng
50 triệu,"Đường Cách Mạng Tháng 8, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,100 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
25 tỷ,"Đường Võ Thị Sáu, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ",106 m²,N/A,N/A,5,N/A,N/A,Sổ hồng
"6,16 tỷ","162/5, Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ","38 m² (4,5x8,5)",2 phòng,3 WC,2,Tây Bắc,Tây Bắc,Sổ hồng
22 tỷ,"553, Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","68 m² (6,0x14,0)",7 phòng,7 WC,3,N/A,N/A,Sổ hồng
"8,2 tỷ","Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP.HCM","Biệt thự, Villa","46 m² (6,5x7,2)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
3 tỷ,"72/26A, Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","12 m² (3,0x4,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
29 tỷ,"85, Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"66 m² (6,0x11,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,9 tỷ","Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ","48,8 m²",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"3,25 tỷ","Đường Nguyễn Khắc Nhu, Phường Cô Giang, Quận 1, TP.HCM","Nhà hẻm, ngõ",49 m²,N/A,N/A,4,N/A,N/A,Sổ hồng
37 tỷ,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","146 m² (8,0x19,0)",8 phòng,8 WC,5,N/A,Đông Nam,Sổ hồng
"8,5 tỷ","Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ",37 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"10,7 tỷ","Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, TP.HCM",Nhà mặt tiền,"30 m² (3,0x10,0)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
"2,85 tỷ","Đường Đặng Tất, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ","42 m² (4,0x10,5)",3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
34 tỷ,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"66 m² (4,4x15,0)",3 phòng,3 WC,4,N/A,N/A,Sổ hồng
"11,6 tỷ","Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","57 m² (3,6x17,0)",9 phòng,8 WC,4,N/A,N/A,Sổ hồng
145 tỷ,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,240 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
55 tỷ,"Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",6 phòng,4 WC,N/A,N/A,Đông Nam,Sổ hồng
"7,2 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM","Nhà hẻm, ngõ","32 m² (2,9x11,0)",2 phòng,3 WC,3,N/A,N/A,Sổ hồng
115 tỷ,"120 D, Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",Nhà mặt tiền,"155 m² (5,5x30,0)",N/A,N/A,2,Đông Nam,Đông Nam,Sổ hồng
84 tỷ,"Đường Nguyễn An Ninh, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"87 m² (4,0x22,0)",21 phòng,20 WC,7,N/A,Đông Bắc,Sổ hồng
"2,3 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","18 m² (2,3x8,0)",1 phòng,2 WC,2,N/A,N/A,Sổ hồng
"7,5 tỷ","Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ",54 m²,4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
600 tỷ,"Đường Nguyễn Du, Phường Bến Nghé, Quận 1, TP.HCM",Nhà mặt tiền,"458 m² (30,0x16,0)",86 phòng,85 WC,12,N/A,Đông Nam,Sổ hồng
135 tỷ,"Đường Phan Kế Bính, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,225 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"15,2 tỷ","Đường Trần Khắc Chân, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"35,3 m² (4,5x9,2)",3 phòng,3 WC,3,Đông Bắc,Đông Bắc,Sổ hồng
31 tỷ,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ",80 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
45 tỷ,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TP.HCM",Nhà mặt tiền,"54 m² (3,6x16,0)",12 phòng,12 WC,5,N/A,N/A,Sổ hồng
35 tỷ,"38, Đường Cô Bắc, Phường Cầu Ông Lãnh, Quận 1, TP.HCM",Nhà mặt tiền,"72,2 m² (4,2x17,2)",N/A,N/A,2,Đông Nam,Đông Nam,Sổ hồng
"2,9 tỷ","Đường Tôn Thất Đạm, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","38 m² (3,8x10,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"2,75 tỷ","Đường Nguyễn Phi Khanh, Phường Tân Định, Quận 1, TP.HCM","Nhà hẻm, ngõ",40 m²,4 phòng,5 WC,3,N/A,N/A,Sổ hồng
"5,85 tỷ","Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM",Nhà mặt tiền,"55,6 m² (4,4x12,6)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
32 tỷ,"58, Đường Cô Giang, Phường Cô Giang, Quận 1, TP.HCM",Nhà mặt tiền,"54 m² (4,0x14,0)",7 phòng,6 WC,5,Đông Nam,Đông Nam,Sổ đỏ
"6,2 tỷ","Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Nhà hẻm, ngõ",26 m²,2 phòng,3 WC,N/A,N/A,N/A,Giấy tờ hợp lệ
67 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, TP.HCM",Nhà mặt tiền,"184 m² (8,0x23,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, TP.HCM","Nhà hẻm, ngõ","37,2 m² (3,6x10,5)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
17 tỷ,"Đường Lê Lai, Phường Bến Thành, Quận 1, TP.HCM","Nhà hẻm, ngõ","63 m² (7,0x9,0)",5 phòng,5 WC,4,N/A,N/A,Sổ hồng
"7,1 tỷ","Đường Đề Thám, Phường Cô Giang, Quận 1, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x11,0)",N/A,2 WC,2,Tây Bắc,N/A,Sổ hồng
155 tỷ,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,"160 m² (8,0x20,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
77 tỷ,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, TP.HCM",Nhà mặt tiền,103 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,5 tỷ","Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM",Nhà mặt tiền,30 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,55 tỷ","Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","61 m² (4,0x15,3)",5 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"6,25 tỷ","Đường Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ","63 m² (4,5x14,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"8,2 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ",31 m²,4 phòng,4 WC,5,N/A,Đông Nam,Sổ hồng
28 tỷ,"554, Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, TP.HCM",Nhà mặt tiền,"65,7 m² (4,9x13,5)",3 phòng,3 WC,3,Đông Nam,Đông Nam,Sổ hồng
"33,9 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, TP.HCM","Nhà hẻm, ngõ","98 m² (5,1x19,7)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"4,8 tỷ","Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, TP.HCM","Nhà hẻm, ngõ",80 m²,4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"6,99 tỷ","Đường Nguyễn Du, Phường Bến Thành, Quận 1, TP.HCM","Nhà hẻm, ngõ","41 m² (2,8x15,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"5,2 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TP.HCM","Nhà hẻm, ngõ",45 m²,3 phòng,N/A,N/A,N/A,N/A,Sổ hồng
