Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"4,1 tỷ","số 290/51/, Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",30 m²,N/A,N/A,2,N/A,N/A,Sổ đỏ
"5,7 tỷ","35/63, Đường Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","60 m² (3,5x18,0)",N/A,N/A,2,N/A,Đông Nam,Sổ hồng
"18,5 tỷ","Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",120 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,2 tỷ","Đường Lê Văn Duyệt, Phường 1, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",32 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,1 tỷ","Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,5 WC,5,Đông,Đông,Sổ hồng
"47,5 tỷ","Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,164 m²,N/A,N/A,8,N/A,N/A,Sổ hồng
"5,6 tỷ","15/30, Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","37,2 m² (3,1x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
15 tỷ,"423/2, Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",59 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"12,4 tỷ","Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",90 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,85 tỷ","113/4/..., Đường Võ Duy Ninh, Phường 22, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","22 m² (2,3x10,0)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"4,2 tỷ","Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ",38 m²,2 phòng,2 WC,N/A,N/A,N/A,Sổ đỏ
42 tỷ,"297-299, Đường Lê Quang Định, Phường 7, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"140 m² (7,0x20,0)",N/A,N/A,5,N/A,N/A,Sổ hồng
"8,9 tỷ","Đường Lê Văn Duyệt, Phường 1, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,4 WC,4,Đông Nam,Đông Nam,Sổ hồng
"5,6 tỷ","29c, Đường Phú Mỹ, Phường 22, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"60 m² (3,5x18,0)",N/A,N/A,1,Đông Nam,Đông Nam,Sổ đỏ
69 tỷ,"1/12, Đường Thanh Đa, Phường 27, Quận Bình Thạnh, TP.HCM","Biệt thự, Villa","647 m² (31,0x20,0)",N/A,N/A,N/A,N/A,Đông Nam,Sổ hồng
"3,1 tỷ","146/59/18/155B, Đường Vũ Tùng, Phường 2, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","14 m² (3,0x5,0)",2 phòng,2 WC,3,N/A,N/A,Sổ hồng
35 tỷ,"Đường Vạn Kiếp, Phường 3, Quận Bình Thạnh, TP.HCM",Nhà mặt tiền,"74 m² (8,0x14,0)",7 phòng,7 WC,6,Tây Nam,Tây Nam,Sổ hồng
"1,64 tỷ","Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","38,5 m² (4,0x9,6)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"10,8 tỷ","Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, TP.HCM","Nhà hẻm, ngõ","91 m² (4,5x19,0)",9 phòng,9 WC,4,N/A,N/A,Sổ hồng
