Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"10,9 tỷ","45/1, Đường Trần Thái Tông, Phường 15, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","90 m² (5,0x18,0)",N/A,N/A,3,N/A,N/A,Sổ đỏ
59 tỷ,"76, Đường A4, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"198 m² (11,0x18,0)",1 phòng,4 WC,3,Đông Nam,Đông Nam,Sổ đỏ
69 tỷ,"25, Đường Lê Văn Huân, Phường 13, Quận Tân Bình, TP.HCM","Biệt thự, Villa","261 m² (14,5x18,0)",8 phòng,10 WC,7,Đông,Đông,Sổ hồng
"8,3 tỷ","277/42, Đường Trường Chinh, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","92,5 m² (4,1x23,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
11 tỷ,"Đường Bạch Đằng, Phường 2, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","55 m² (6,0x10,0)",5 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"7,9 tỷ","481/59, Đường Trường Chinh, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","57,8 m² (3,5x16,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,8 tỷ","Đường Gò Cẩm Đệm, Phường 10, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"44 m² (4,0x11,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
48 tỷ,"2/92, Đường Thiên Phước, Phường 9, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","240 m² (12,0x20,0)",N/A,N/A,6,N/A,N/A,Sổ hồng
"6,9 tỷ","40, Đường Nghĩa Hòa, Phường 6, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"36 m² (6,2x6,0)",3 phòng,3 WC,4,N/A,N/A,Sổ hồng
"5,35 tỷ","304/4Q4, Đường Trường Chinh, Phường 13, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x14,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"7,95 tỷ","65, Đường Sơn Hưng, Phường 12, Quận Tân Bình, TP.HCM",Nhà mặt tiền,"48 m² (4,0x12,0)",4 phòng,2 WC,4,N/A,N/A,Sổ hồng
"6,95 tỷ","62/1/9, Đường Trương Công Định, Phường 14, Quận Tân Bình, TP.HCM","Nhà hẻm, ngõ","45 m² (3,9x11,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
