Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
650 triệu,"26/7A, Đường 156, Xã Bình Mỹ, Huyện Củ Chi, TP.HCM","Nhà hẻm, ngõ",50 m²,1 phòng,1 WC,1,N/A,N/A,Sổ đỏ
"3,2 tỷ","165, Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,80 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"3,25 tỷ","Đường 577, Xã An Nhơn Tây, Huyện Củ Chi, TP.HCM","Nhà hẻm, ngõ","168,5 m² (12,0x14,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"39,99 tỷ","Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"2.350 m² (22,0x101,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
13 tỷ,"Đường Đỗ Đăng Tuyển, Xã An Nhơn Tây, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,2.900 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
680 triệu,"Đường Tỉnh Lộ 7, Xã Phước Thạnh, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,168 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
26 tỷ,"Đường Tỉnh Lộ 8, Xã Tân Thạnh Tây, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,1.400 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
680 triệu,"Đường Nguyễn Thị Chiên, Xã Tân An Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"144 m² (5,0x28,0)",6 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"1,25 tỷ","Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,118 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
720 triệu,"Đường Lê Thị Siêng, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM","Nhà hẻm, ngõ","56 m² (4,0x14,0)",1 phòng,1 WC,N/A,N/A,Đông Nam,Giấy tờ hợp lệ
"1,22 tỷ","Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,158 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,4 tỷ","Đường Hà Duy Phiên, Xã Bình Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"156 m² (5,0x32,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"4,2 tỷ","Đường Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"723 m² (11,0x66,0)",2 phòng,N/A,N/A,N/A,Tây Nam,Sổ hồng
"11,2 tỷ","Đường Huỳnh Văn Cọ, Thị Trấn Củ Chi, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"368 m² (8,0x46,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
"2,5 tỷ","11, Đường Võ Thị Dòn, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"50,5 m² (4,4x11,6)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
820 triệu,"Đường số 17, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,267 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
990 triệu,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,125 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
12 tỷ,"9b, Đường Bình Mỹ, Xã Bình Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"378 m² (8,0x47,3)",N/A,N/A,1,N/A,Đông Nam,Sổ đỏ
"1,03 tỷ","Đường Nguyễn Thị Rõ, Xã Tân An Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,105 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
720 triệu,"Đường Võ Thị Dòn, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,285 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,65 tỷ","Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM","Nhà hẻm, ngõ","240 m² (8,0x30,0)",10 phòng,10 WC,N/A,N/A,N/A,Sổ đỏ
620 triệu,"Đường Lê Minh Nhựt, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,200 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
15 tỷ,"Đường 766, Xã An Nhơn Tây, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"1.528 m² (26,0x60,0)",27 phòng,28 WC,1,N/A,N/A,Sổ hồng
"1,05 tỷ","Đường Cây Trôm Mỹ Khánh, Xã Thái Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,116 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,2 tỷ","41, Đường Nguyễn Thị Chì, Xã An Nhơn Tây, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"600 m² (10,0x60,0)",2 phòng,1 WC,1,Bắc,Tây,Sổ hồng
730 triệu,"Đường Lê Thị Nghĩ, Xã Phước Hiệp, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,118 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,75 tỷ","Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"240 m² (10,0x24,0)",10 phòng,10 WC,N/A,N/A,N/A,Sổ đỏ
"22,8 tỷ","Đường Võ Văn Bích, Xã Bình Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"3.890 m² (35,0x120,0)",N/A,N/A,N/A,N/A,Tây Bắc,Sổ hồng
"2,5 tỷ","Đường Suối Lội, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"85 m² (5,0x17,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
690 triệu,"Đường 101, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"50 m² (4,0x11,0)",2 phòng,2 WC,1,Đông Nam,Đông,Sổ hồng
690 triệu,"Đường số 28, Xã Tân Thông Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,50 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
630 triệu,"Đường Cây Trôm Mỹ Khánh, Xã Thái Mỹ, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,126 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,8 tỷ","Đường Tỉnh Lộ 7, Xã An Nhơn Tây, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"433 m² (10,0x43,0)",3 phòng,3 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
800 triệu,"Đường Hà Văn Lao, Xã Tân An Hội, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,225 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
790 triệu,"Đường Võ Văn Điều, Xã Phước Thạnh, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"184 m² (7,0x29,0)",2 phòng,2 WC,N/A,Đông Nam,Nam,Sổ hồng
870 triệu,"Đường Quốc Lộ 22, Xã Phước Hiệp, Huyện Củ Chi, TP.HCM","Nhà hẻm, ngõ","82 m² (5,0x15,6)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
660 triệu,"Đường Lê Thị Sắc, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,"120 m² (5,0x24,0)",2 phòng,1 WC,1,N/A,N/A,Sổ hồng
710 triệu,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, TP.HCM",Nhà mặt tiền,112 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
