Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"5,8 tỷ","1017/102X, Đường Hồng Bàng, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","66 m² (6,0x10,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
"5,95 tỷ","Đường Lò Gốm, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","100 m² (4,6x18,6)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"10,5 tỷ","615C, Đường Phạm Văn Chí, Phường 7, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (8,0x8,0)",6 phòng,6 WC,6,N/A,N/A,Giấy tờ hợp lệ
"6,5 tỷ","Đường Nguyễn Văn Luông, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"52,4 m² (4,6x11,4)",7 phòng,7 WC,N/A,N/A,N/A,Sổ hồng
"3,2 tỷ","47/2L10, Đường Tân Hóa, Phường 14, Quận 6, TP.HCM","Nhà hẻm, ngõ",28 m²,2 phòng,1 WC,1,N/A,N/A,Sổ hồng
"5,5 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","35 m² (3,2x11,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,67 tỷ","Đường Võ Văn Kiệt, Phường 7, Quận 6, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,65 tỷ","Đường Cư Xá Ra Đa, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",21 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"5,5 tỷ","Đường số 10, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",42 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"6,5 tỷ","Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"48 m² (4,0x12,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"1,7 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ",18 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"1,7 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ",20 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"1,35 tỷ","Đường Bà Hom, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",13 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
29 tỷ,"260, Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"232,3 m²",4 phòng,3 WC,N/A,N/A,Đông Nam,Sổ hồng
"5,5 tỷ","Đường Minh Phụng, Phường 5, Quận 6, TP.HCM","Nhà hẻm, ngõ",42 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
25 tỷ,"940, Đường Hậu Giang, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"52,1 m² (4,0x13,0)",N/A,N/A,2,Nam,Nam,Sổ hồng
"3,35 tỷ","Đường Lê Tuấn Mậu, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",60 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,98 tỷ","Đường Nguyễn Văn Luông, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","69 m² (4,5x15,5)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
960 triệu,"Đường Hậu Giang, Phường 6, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
960 triệu,"Đường Bà Hom, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"1,22 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Phạm Văn Chí, Phường 8, Quận 6, TP.HCM","Nhà hẻm, ngõ","44 m² (4,0x11,0)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường Bình Phú, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"73 m² (4,0x18,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"12,5 tỷ","Đường Bình Phú, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,"95 m² (5,0x19,0)",4 phòng,3 WC,2,Nam,Nam,Sổ hồng
"1,8 tỷ","Đường Bà Hom, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,40 m²,1 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"17,2 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM",Nhà mặt tiền,"93 m² (3,5x28,0)",9 phòng,9 WC,5,N/A,Đông Nam,Sổ hồng
"2,74 tỷ","Đường Nguyễn Văn Luông, Phường 10, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,5x13,5)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"17,5 tỷ","Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",4 phòng,5 WC,5,N/A,Bắc,Sổ hồng
"4,78 tỷ","Đường Nguyễn Văn Luông, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","38 m² (7,5x6,0)",5 phòng,2 WC,3,N/A,Đông,Sổ hồng
"15,9 tỷ","Đường Kinh Dương Vương, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","164 m² (8,0x20,0)",5 phòng,5 WC,3,Đông,Đông,Sổ hồng
18 tỷ,"Đường 23, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"90 m² (4,5x20,0)",6 phòng,7 WC,N/A,Đông,Đông,Sổ hồng
