Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"18,5 tỷ","Đường 3A, Phường Tân Tạo A, Quận Bình Tân, TP.HCM",Nhà mặt tiền,90 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
29 tỷ,"59, Đường số 1A, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"200 m² (10,0x20,0)",6 phòng,5 WC,3,N/A,N/A,Sổ hồng
"7,8 tỷ","945/31/ 25, Đường Quốc Lộ 1A, Phường An Lạc, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","84 m² (4,0x21,0)",N/A,N/A,6,N/A,N/A,Sổ hồng
"8,5 tỷ","1/2/16, Đường 5C, Phường Bình Hưng Hòa A, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"40 m² (10,0x12,0)",1 phòng,1 WC,N/A,Bắc,Bắc,Sổ hồng
30 tỷ,"358, Đường Quốc Lộ 1A, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"925 m² (12,0x90,0)",N/A,N/A,1,N/A,Đông,Sổ hồng
"5,95 tỷ","480, Đường Mã Lò, Phường Bình Hưng Hòa A, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","50 m² (5,0x10,0)",4 phòng,5 WC,N/A,Đông Bắc,Đông Bắc,Sổ hồng
7 tỷ,"243/34A, Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","72 m² (4,5x16,0)",4 phòng,N/A,N/A,N/A,N/A,Sổ hồng
240 tỷ,"Đường Kinh Dương Vương, Phường An Lạc A, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"1.922 m² (33,0x58,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
47 tỷ,"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","910 m² (23,0x40,0)",N/A,N/A,N/A,N/A,Đông,Sổ hồng
"5,2 tỷ","182/10, Đường số 6, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","280 m² (4,0x16,0)",5 phòng,5 WC,5,N/A,N/A,Sổ hồng
"2,15 tỷ","Đường Lô D, Phường An Lạc, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","66,4 m² (4,0x16,6)",5 phòng,4 WC,3,N/A,N/A,Sổ hồng
"9,6 tỷ","89/22/7, Đường Phan Anh, Phường Bình Trị Đông, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","100 m² (4,0x25,0)",4 phòng,4 WC,3,Đông Nam,Đông Nam,Sổ hồng
"10,9 tỷ","18, Đường số 10, Phường Bình Hưng Hòa B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"150 m² (5,0x30,0)",8 phòng,8 WC,3,N/A,N/A,Sổ hồng
"1,5 tỷ","Đường Chiến Lược, Phường Bình Trị Đông, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","13 m² (2,6x5,0)",N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
56 tỷ,"611, Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"500 m² (20,0x25,0)",250 phòng,100 WC,9,N/A,N/A,Sổ hồng
"5,8 tỷ","Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"52 m² (4,5x12,0)",5 phòng,5 WC,5,N/A,N/A,Sổ hồng
"6,5 tỷ","Đường Liên Khu 16-18, Phường Bình Trị Đông, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"74 m² (5,7x13,5)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"7,6 tỷ","Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"80 m² (5,0x16,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"3,95 tỷ","Đường Đất Mới, Phường Bình Trị Đông, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","61,4 m² (4,0x15,5)",N/A,N/A,1,N/A,N/A,Sổ hồng
"8,1 tỷ","Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, TP.HCM","Nhà hẻm, ngõ","59 m² (6,0x10,0)",6 phòng,5 WC,5,Đông,Đông,Sổ hồng
"12,5 tỷ","Đường số 8B, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",4 phòng,5 WC,3,Tây,Tây,Sổ hồng
