Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"5,45 tỷ","Đường số 9, Phường 16, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ",43 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"22,9 tỷ","Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM",Nhà mặt tiền,"69 m² (4,0x21,0)",6 phòng,6 WC,7,Tây Nam,Tây Nam,Sổ hồng
30 tỷ,"67/1, Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","67,5 m² (4,5x17,0)",20 phòng,21 WC,7,Bắc,Bắc,Sổ hồng
"8,25 tỷ","Đường Quang Trung, Phường 8, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","55 m² (4,3x13,0)",5 phòng,5 WC,4,Đông Bắc,Đông Bắc,Sổ hồng
"7,8 tỷ","45, Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","52 m² (4,0x13,0)",4 phòng,5 WC,4,Tây Bắc,Tây Bắc,Sổ hồng
"22,8 tỷ","631/31/1, Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","180 m² (7,1x28,0)",35 phòng,36 WC,6,N/A,N/A,Sổ hồng
6 tỷ,"275/138/22, Đường Quang Trung, Phường 10, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","72,5 m² (5,0x14,5)",2 phòng,1 WC,1,N/A,Đông Nam,Sổ hồng
28 tỷ,"467/125 , Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, TP.HCM",Nhà mặt tiền,"300 m² (12,0x25,0)",11 phòng,15 WC,5,N/A,N/A,Sổ hồng
"4,7 tỷ","Đường số 2, Phường 3, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ",35 m²,4 phòng,3 WC,3,N/A,N/A,Sổ hồng
"9,5 tỷ","Đường Quang Trung, Phường 10, Quận Gò Vấp, TP.HCM",Nhà mặt tiền,"57,9 m²",N/A,N/A,N/A,N/A,N/A,Sổ hồng
26 tỷ,"Đường Lê Đức Thọ, Phường 7, Quận Gò Vấp, TP.HCM",Nhà mặt tiền,"300 m² (7,0x19,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"9,5 tỷ","884/140, Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","100 m² (5,0x20,0)",5 phòng,7 WC,5,Tây Bắc,Tây Bắc,Sổ đỏ
"3,65 tỷ","Đường số 17, Phường 11, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","28 m² (3,3x10,0)",2 phòng,2 WC,2,N/A,Đông Nam,Sổ hồng
"9,5 tỷ","163/8, Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ",67 m²,4 phòng,5 WC,4,N/A,Đông Nam,Sổ hồng
"2,69 tỷ","Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","59,6 m²",6 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"9,2 tỷ","Đường Cây trâm, Phường 8, Quận Gò Vấp, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",4 phòng,5 WC,4,N/A,Đông Nam,Sổ hồng
19 tỷ,"106, Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, TP.HCM",Nhà mặt tiền,"50 m² (5,0x10,0)",N/A,N/A,3,N/A,N/A,Sổ hồng
