Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"4,86 tỷ","270/11/1A, Đường Phan Đình Phùng, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",19 m²,3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"7,2 tỷ","Đường Hoa Cúc, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",5 phòng,4 WC,4,N/A,N/A,Sổ hồng
"11,8 tỷ","Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,5 WC,4,Đông Nam,Đông Nam,Sổ hồng
"14,7 tỷ","Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,55 m²,N/A,N/A,4,N/A,N/A,Sổ hồng
"13,9 tỷ","76/11, Đường Phan Tây Hồ, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",61 m²,10 phòng,10 WC,N/A,N/A,N/A,Sổ hồng
"5,95 tỷ","413/11A, Đường Nguyễn Kiệm, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","25 m² (3,8x7,0)",4 phòng,N/A,5,N/A,N/A,Sổ hồng
"7,5 tỷ","1162/, Đường Trường Sa, Phường 13, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","40 m² (6,5x6,5)",3 phòng,4 WC,4,N/A,N/A,Sổ hồng
"7,7 tỷ","347/33/14, Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","51 m² (3,0x17,0)",N/A,N/A,4,N/A,N/A,Sổ hồng
"27,9 tỷ","Đường Nhiêu Tứ, Phường 7, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"110 m² (5,0x22,0)",20 phòng,21 WC,6,N/A,N/A,Sổ hồng
50 triệu,"Đường Hoàng Minh Giám, Phường 12, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",100 m²,N/A,N/A,N/A,N/A,N/A,Sổ đỏ
"3,1 tỷ","Đường Thích Quảng Đức, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","48,3 m²",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
42 tỷ,"66 68, Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"165 m² (8,0x23,0)",5 phòng,5 WC,N/A,Đông Nam,Đông Nam,Sổ hồng
"9,5 tỷ","Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",103 m²,N/A,N/A,3,N/A,N/A,Sổ hồng
"4,85 tỷ","Đường Hoa Sứ, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","63 m² (4,2x14,0)",4 phòng,4 WC,5,N/A,N/A,Sổ hồng
"13,9 tỷ","210/13 Đường Hồ Văn Huê, Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","68 m² (4,0x17,0)",7 phòng,N/A,4,N/A,N/A,Sổ đỏ
"12,9 tỷ","Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,24 m²,3 phòng,3 WC,N/A,N/A,N/A,Sổ đỏ
"3,04 tỷ","Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",69 m²,4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"7,68 tỷ","Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",57 m²,4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"3,3 tỷ","Đường Trần Huy Liệu, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","67,5 m² (4,5x15,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,45 tỷ","Đường Trần Khắc Chân, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","57,4 m² (3,7x15,7)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"3,59 tỷ","Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","54,6 m² (4,2x13,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
120 tỷ,"Đường Phan Đăng Lưu, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"700 m² (16,0x40,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"3,05 tỷ","Đường Vũ Huy Tấn, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","54 m² (5,0x10,8)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,37 tỷ","Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","54 m² (4,0x13,5)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"4,98 tỷ","Đường Hoa Lan, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
33 tỷ,"Đường Lam Sơn, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",200 m²,6 phòng,7 WC,3,N/A,N/A,Sổ hồng
"5,8 tỷ","Đường Hoàng Minh Giám, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","72 m² (4,2x17,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"1,75 tỷ","Đường Trần Hữu Trang, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","36 m² (3,0x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
21 tỷ,"Đường Phan Xích Long, Phường 2, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"10,9 tỷ","HXH, Đường Nguyễn Thị Huỳnh, Phường 8, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","55 m² (3,9x13,6)",7 phòng,7 WC,4,N/A,N/A,Sổ hồng
"1,78 tỷ","Đường Trần Hữu Trang, Phường 11, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","49 m² (3,8x13,0)",3 phòng,4 WC,2,N/A,N/A,Sổ hồng
"3,95 tỷ","Đường Hoa Lan, Phường 2, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","64 m² (4,0x16,0)",4 phòng,3 WC,2,N/A,N/A,Sổ hồng
"8,9 tỷ","139, Đường Nguyễn Thượng Hiền, Phường 5, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"71 m² (1,7x20,0)",3 phòng,3 WC,2,N/A,N/A,Sổ hồng
"2,98 tỷ","Đường Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"9,9 tỷ","Đường Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","75 m² (4,0x18,5)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
23 tỷ,"Đường Nguyễn Trọng Tuyển, Phường 15, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",6 phòng,6 WC,4,N/A,N/A,Sổ hồng
