Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"15,2 tỷ","Đường Tỉnh Lộ 43, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","276,6 m²",23 phòng,N/A,N/A,N/A,N/A,Sổ đỏ
"3,6 tỷ","Đường Tỉnh Lộ 43, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","77 m² (5,0x15,4)",5 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"4,2 tỷ","19/30A, Đường Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","64,2 m² (5,2x12,0)",N/A,N/A,2,N/A,N/A,Sổ hồng
240 tỷ,"Đường 12, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,5.564 m²,N/A,N/A,N/A,N/A,Đông Bắc,Sổ hồng
"3,75 tỷ","39/8/1, Đường số 4, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
22 tỷ,"Đường 16, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","222 m² (6,0x37,0)",16 phòng,N/A,N/A,N/A,N/A,Sổ hồng
24 tỷ,"561/6, Đường Quốc Lộ 1A, Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","840 m² (21,0x40,0)",38 phòng,N/A,N/A,N/A,N/A,Sổ hồng
"2,68 tỷ","Đường 22, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","68,2 m²",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,54 tỷ","Đường 20, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","72 m² (4,5x16,0)",4 phòng,3 WC,3,N/A,N/A,Sổ hồng
13 tỷ,"Đường số 6, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"90 m² (4,5x20,0)",4 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"1,37 tỷ","Đường Hoàng Diệu 2, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"56 m² (5,0x11,0)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
23 tỷ,"47B, Đường số 9, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"160 m² (8,5x16,0)",4 phòng,4 WC,4,Tây Bắc,Bắc,Sổ hồng
"1,05 tỷ","Đường Võ Văn Ngân, Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","140 m² (5,0x14,0)",3 phòng,3 WC,1,N/A,N/A,Sổ hồng
"4,6 tỷ","56/12, Đường Bình Chiểu, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","84 m² (5,0x16,0)",4 phòng,2 WC,1,Đông Nam,Đông Nam,Sổ hồng
"9,5 tỷ","Đường số 7, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Biệt thự, Villa","93 m² (6,7x17,0)",5 phòng,4 WC,2,N/A,N/A,Sổ hồng
"4,6 tỷ","Đường số 1, Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","60 m² (4,5x13,5)",2 phòng,1 WC,1,N/A,N/A,Sổ hồng
"10,5 tỷ","Đường số 9, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Biệt thự, Villa","106 m² (6,5x17,5)",5 phòng,5 WC,3,N/A,N/A,Sổ hồng
"13,5 tỷ","Đường Quốc Lộ 13, Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Biệt thự, Villa","200 m² (10,0x20,0)",4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"1,15 tỷ","Đường Kha Vạn Cân, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","38,5 m² (3,5x11,0)",2 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
"5,3 tỷ","Đường 20, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","110 m² (7,0x16,0)",2 phòng,1 WC,1,N/A,N/A,Sổ hồng
"5,62 tỷ","24, Đường 19, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",45 m²,3 phòng,3 WC,2,Bắc,Bắc,Sổ hồng
13 tỷ,"Đường Tô Ngọc Vân, Phường Tam Phú, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"100 m² (5,0x20,0)",N/A,N/A,N/A,N/A,Bắc,Sổ hồng
"3,9 tỷ","Đường 12, Phường Tam Bình, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",62 m²,4 phòng,5 WC,N/A,N/A,N/A,Sổ hồng
"3,1 tỷ","Đường Phạm Văn Đồng, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","51 m² (4,0x13,0)",N/A,N/A,N/A,N/A,Tây,Sổ hồng
735 triệu,"Đường Ngô Chí Quốc, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","55 m² (5,0x11,0)",3 phòng,2 WC,1,N/A,N/A,Sổ hồng
"9,9 tỷ","24/9D, Đường Đặng Văn Bi, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","103 m² (4,5x24,0)",2 phòng,2 WC,1,Đông Bắc,Tây Nam,Sổ hồng
5 tỷ,"Đường 18, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",51 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,35 tỷ","Đường Quốc Lộ 13, Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",42 m²,2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
7 tỷ,"Đường Đặng Văn Bi, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","65 m² (4,0x16,3)",4 phòng,5 WC,3,N/A,Tây,Sổ hồng
21 tỷ,"Đường 23, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Biệt thự, Villa","230 m² (12,0x20,0)",4 phòng,4 WC,2,N/A,N/A,Sổ hồng
"7,8 tỷ","Đường số 5, Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","120 m² (8,1x15,0)",4 phòng,3 WC,2,N/A,Đông Bắc,Sổ hồng
"2,59 tỷ","Đường Tô Ngọc Vân, Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"4,46 tỷ","Đường 10, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"61,5 m² (5,0x12,3)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
70 tỷ,"114, Đường Võ Văn Ngân, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"370 m² (8,5x30,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"3,25 tỷ","Đường số 2, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",53 m²,3 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
